Year,Month,Day,Return_t,Return_day_before
2013,11,29,0.99731654,0.99606747
2013,12,2,0.99619576,0.99731654
2013,12,3,1.00860728,0.99619576
2013,12,4,0.99906755,1.00860728
2013,12,5,0.99803536,0.99906755
2013,12,6,0.99917347,0.99803536
2013,12,9,0.99793793,0.99917347
2013,12,10,1.01242171,0.99793793
2013,12,11,1.00778456,1.01242171
2013,12,12,1.0023197,1.00778456
2013,12,13,1.00063304,1.0023197
2013,12,16,1.0045575,1.00063304
2013,12,17,0.99525316,1.0045575
2013,12,18,1.00296234,0.99525316
2013,12,19,0.99736203,1.00296234
2013,12,20,1.00052787,0.99736203
2013,12,23,1.00010559,1.00052787
2013,12,24,0.99915603,1.00010559
2013,12,25,1.00109837,0.99915603
2013,12,26,0.99775551,1.00109837
2013,12,27,1.00130836,0.99775551
2013,12,29,0.9998734,1.00130836
2013,12,30,0.99832536,0.9998734
2013,12,31,1.00305313,0.99832536
2014,1,1,0.99585486,1.00305313
2014,1,2,0.99958986,0.99585486
2014,1,3,0.99791162,0.99958986
2014,1,5,0.99764432,0.99791162
2014,1,6,0.99427465,0.99764432
2014,1,7,0.99768401,0.99427465
2014,1,8,0.99819616,0.99768401
2014,1,9,0.9849492,0.99819616
2014,1,10,0.99674317,0.9849492
2014,1,12,0.99942021,0.99674317
2014,1,13,1.00206913,0.99942021
2014,1,14,1.00674178,1.00206913
2014,1,15,1.01103872,1.00674178
2014,1,16,1.00190219,1.01103872
2014,1,17,1.00009356,1.00190219
2014,1,19,0.99770787,1.00009356
2014,1,20,0.99868454,0.99770787
2014,1,21,0.98404835,0.99868454
2014,1,22,1.00813835,0.98404835
2014,1,23,1.01166381,1.00813835
2014,1,24,1.00028076,1.01166381
2014,1,26,0.99045265,1.00028076
2014,1,27,0.99205092,0.99045265
2014,1,28,1.002941,0.99205092
2014,1,29,0.99474017,1.002941
2014,1,30,1.00751772,0.99474017
2014,1,31,1.00009244,1.00751772
2014,2,2,1.00104875,1.00009244
2014,2,3,0.98367603,1.00104875
2014,2,4,1.00157013,0.98367603
2014,2,5,0.99567309,1.00157013
2014,2,6,1.0036442,0.99567309
2014,2,7,1.00078006,1.0036442
2014,2,9,0.99799814,1.00078006
2014,2,10,0.99443003,0.99799814
2014,2,11,1.00179284,0.99443003
2014,2,12,1.00757068,1.00179284
2014,2,13,0.99390773,1.00757068
2014,2,14,0.99762523,0.99390773
2014,2,16,1.00380804,0.99762523
2014,2,17,1.00198371,1.00380804
